Date,Stock_Price,Next_Stock_Price_1,Next_Stock_Price_2,vader_sentiment
6/08/2024,200.6399994,191.7599945,198.8399963,-0.6124
7/08/2024,191.7599945,198.8399963,200.0,0.08105000000000001
8/08/2024,198.8399963,200.0,197.4900055,0.11315
9/08/2024,200.0,197.4900055,207.8300018,-0.435
12/08/2024,197.4900055,207.8300018,201.3800049,-0.005699999999999997
13/08/2024,207.8300018,201.3800049,214.1399994,0.11547500000000001
14/08/2024,201.3800049,214.1399994,216.1199951,0.11804
15/08/2024,214.1399994,216.1199951,222.7200012,0.32135
16/08/2024,216.1199951,222.7200012,221.1000061,0.008000000000000007
19/08/2024,222.7200012,221.1000061,223.2700043,0.20104285714285713
20/08/2024,221.1000061,223.2700043,210.6600037,0.3559285714285715
21/08/2024,223.2700043,210.6600037,220.3200073,0.02601818181818182
22/08/2024,210.6600037,220.3200073,213.2100067,0.44425
23/08/2024,220.3200073,213.2100067,209.2100067,0.32789999999999997
26/08/2024,213.2100067,209.2100067,205.75,-0.074
27/08/2024,209.2100067,205.75,206.2799988,0.1643666666666667
28/08/2024,205.75,206.2799988,214.1100006,-0.15713333333333335
29/08/2024,206.2799988,214.1100006,210.6000061,0.33525
30/08/2024,214.1100006,210.6000061,219.4100037,0.0
3/09/2024,210.6000061,219.4100037,230.1699982,0.27573333333333333
